character_name,playable,rarity,vision,region,model,constellation,birthday,special_dish,voice_eng,voice_cn,voice_jp,voice_kr,release_date,weapon_type,ascension,ascension_specialty,ascension_talent_mat,ascension_boss_mat,talent_book_1,talent_book_2,talent_book_3,talent_weekly,hp_90_90,hp_90_90_ac,atk_90_90,atk_90_90_ac,def_90_90,def_90_90_ac,hp_80_90,atk_80_90,def_80_90,hp_80_80,atk_80_80,def_80_80,hp_70_80,atk_70_80,def_70_80,hp_70_70,atk_70_70,def_70_70,hp_60_70,atk_60_70,def_60_70,hp_60_60,atk_60_60,def_60_60,hp_50_60,atk_50_60,def_50_60,hp_50_50,atk_50_50,def_50_50,hp_40_50,atk_40_50,def_40_50,hp_40_40,atk_40_40,def_40_40,hp_20_40,atk_20_40,def_20_40,hp_20_20,atk_20_20,def_20_20,hp_1_20,atk_1_20,def_1_20,spsecial_0,special_1,special_2,special_3,special_4,special_5,special_6,id,elem_recharge,elem_recharge_ac,elem_mastery,elem_mastery_ac,heal_bns_ac,tag1,lcltier_tag1,glbtier_tag1,score_atk_tag1,score_hlr_tag1,tag2,lcltier_tag2,glbtier_tag2,score_atk_tag2,score_hlr_tag2,spt_type1,spt_type2,coef_atkspt,coef_defspt,coef_hpspt,visbm_indiv,vbi_amp,vbi_amp_time,vbi_amp_axis,coef_vbi,visbm_glb,vbg_amp,vbg_amp_time,vbg_amp_axis,bm1,amp1,calc_zone_1,calc_zone_2,eskill_lst,eskill_cd,eskill_ave,eskill_eff,qskill_lst,qskill_cd,qskill_ave,qskill_eff,nmlatk_coef,character_name2,arm,qskill_cd00
,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,NA,0,0,,0,0,0,0,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,
Albedo,Y,5,Geo,Mondstadt,Medium Male,Princeps Cretaceus,13-Sep,Woodland Dream,Khoi Dao,Mace,Kenji Nojima (野島健児),Kim Myung-jun (???),12/23/2020,Sword,Geo DMG Bonus,Cecilia,Divining Scroll,Basalt Pillar,Teachings of Ballad,Guide to Ballad,Philosophies of Ballad,Tusk of Monoceros Caeli,13226,13226,251,301.6016,876,876,12296,233,815,11669,222,773,10746,204,712,10119,192,670,9207,175,610,8579,163,568,7675,146,508,6839,130,453,5944,113,394,5317,101,352,3554,68,235,2671,51,177,1030,20,68,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,0,100.00%,1,0.00%,0,0,Vice_DamageDealer,1,4,289.537536,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,for_physical_attackers,,1,4,1.28,,1,20,2.4,,,Albedo,1,12
Aloy,Y,5,Cryo,NA,Medium Female,Nora Fortis,4月4日,Satiety Gel,Giselle Fernandez,Mufei (沐霏),Ayahi Takagaki (高垣 彩陽),Jo Hyeon-jeong (???),9/1/2021,Bow,Cryo DMG Bonus,Crystal Marrow,Spectral Husk,Crystalline Bloom,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Molten Moment,10899,10899,234,294.6528,676,676,10133,217,629,9616,206,597,8856,190,550,8339,179,517,7587,163,471,7070,152,439,6325,136,393,5636,121,350,4899,105,304,4382,94,272,2928,63,182,2201,47,137,848,18,53,0.00%,0.00%,7.20%,14.40%,14.40%,21.60%,28.80%,1,100.00%,1,0.00%,0,0,Damage_Dealer,4,6,324.11808,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,phy,ele,1,20,1.6,,1,20,3,,,Aloy,5,12
Amber,Y,4,Pyro,Mondstadt,Medium Female,Lepus,10月8日,Outrider's Champion Steak!,Kelly Baskin,Shujin Cai (蔡书瑾),Manaka Iwami (石見舞菜香),Kim Yeon-woo (???),9/28/2020,Bow,ATK,Small Lamp Grass,Firm Arrowhead,Everflame Seed,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Dvalin's Sigh,9461,9461,223,276.52,601,601,8806,208,559,8385,198,532,7730,182,491,7309,172,464,6654,157,422,6233,147,396,5578,131,354,5016,118,318,4361,103,277,3940,93,250,2630,62,167,2038,48,129,793,19,50,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,2,100.00%,1,0.00%,0,0,Vice_DamageDealer,2,6,243.3376,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,30%,70%,5,15,0.256,,1,20,2.4,,,Amber,5,12
Arataki Itto,Y,5,Geo,Inazuma,Tall Male,Taurus Iracundus,1月6日,Way of the Strong,Max Mittelman,Zhaokun Liu (刘照坤),Takanori Nishikawa (西川貴教),Song Joon-seok (???),12/14/2021,Claymore,CRIT Rate,Onikabuto,Slime Condensate,Riftborn Regalia,Teachings of Elegance,Guide to Elegance,Philosophies of Elegance,Ashen Heart,12858,12858,227,227,959,959,11954,211,892,11345,199,846,10448,185,779,9838,174,734,8951,158,668,8341,147,622,7462,132,557,6649,117,496,5779,102,431,5170,91,386,3455,61,258,2597,46,194,1001,18,75,0.00%,0.00%,4.80%,9.60%,9.60%,14.40%,19.20%,3,100.00%,1,0.00%,0,0,Damage_Dealer,2,4,272.4,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,for_elemental_attackers,,6,10,0.266666667,,11,20,0.272727273,,,Arataki Itto,2,18
Barbara,Y,4,Hydro,Mondstadt,Medium Female,Crater,5月7日,Spicy Stew,Laura Stahl,Yuanyuan Song (宋媛媛),Akari Kitō (鬼頭明里),Yun Ah-yeong (???),9/28/2020,Catalyst,HP,Philanemo Mushroom,Divining Scroll,Cleansing Heart,Teachings of Freedom,Guide to Freedom,Philosophies of Freedom,Ring of Boreas,9787,12135.88,159,159,669,669,9110,148,623,8674,141,593,7996,130,546,7561,123,517,6884,112,470,6448,105,441,5770,94,394,5189,84,355,4512,73,308,4076,66,279,2721,44,186,2108,34,144,821,13,56,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,4,100.00%,1,0.00%,0,0,Healer,2,5,0,80,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,phy,ele,12,32,0,,1,20,0,,,Barbara,4,20
Beidou,Y,4,Electro,Liyue,Tall Female,Victor Mare,14-Feb,Flash-Fried Filet,Allegra Clark,Yajing Tang (唐雅菁),Ami Koshimizu (小清水亜美),Jeong Yoo-mi (???),9/28/2020,Claymore,Electro DMG Bonus,Noctilucous Jade,Treasure Hoarder Insignia,Lightning Prism,Teachings of Gold,Guide to Gold,Philosophies of Gold,Dvalin's Sigh,13050,13050,225,262.8,648,648,12146,210,603,11565,200,575,10662,184,530,10081,174,501,9178,158,456,8597,148,427,7694,133,382,6919,119,344,6015,104,299,5435,94,270,3628,63,180,2811,48,140,1094,19,54,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,5,100.00%,1,0.00%,0,0,Vice_DamageDealer,2,4,252.288,0,Damage_Dealer,4,5,0,0,,,1,1,1,,,,20,1,,,,20,,,10%,90%,1,7.5,1.28,,15,20,0.16,,,Beidou,2,20
Bennett,Y,4,Pyro,Mondstadt,Medium Male,Rota Calamitas,1月2日,Teyvat Charred Egg,Cristina Vee Valenzuela,Xueting Mu (穆雪婷),Ryōta ōsaka (逢坂良太),Song Ha-rim (???),9/28/2020,Sword,Energy Recharge,Windwheel Aster,Treasure Hoarder Insignia,Everflame Seed,Teachings of Resistance,Guide to Resistance,Philosophies of Resistance,Dvalin's Plume,12397,12397,191,191,771,771,11539,178,718,10987,169,684,10129,156,630,9577,148,596,8719,134,542,8168,126,508,7309,113,455,6573,101,409,5715,88,356,5163,80,321,3447,53,214,2670,41,166,1039,16,65,0.00%,0.00%,6.70%,13.30%,13.30%,20.00%,26.70%,6,100.00%,1.267,0.00%,0,0,Support,1,1,0,0,Healer,1,1,0,100,atk,hp,1.87,1,1.6,,,,20,1,,,,20,,,vice_coef,dmg_coef,1,10,0,,12,20,0,,,Bennett,1,15
Chongyun,Y,4,Cryo,Liyue,Medium Male,Nubis Caesor,7月9日,Cold Noodles with Mountain Delicacies,Beau Bridgland,kinsen,Soma Saito (斉藤壮馬),Yang Jeong-hwa (???),9/28/2020,Claymore,ATK,Cor Lapis,Damaged Mask,Hoarfrost Core,Teachings of Diligence,Guide to Diligence,Philosophies of Diligence,Dvalin's Sigh,10984,10984,223,276.52,648,648,10223,208,603,9734,198,575,8974,182,530,8485,172,501,7725,157,456,7236,147,427,6475,131,382,5824,118,344,5063,103,299,4574,93,270,3054,62,180,2366,48,140,1003,19,54,0.00%,0.00%,6.00%,12.00%,12.00%,18.00%,24.00%,7,100.00%,1,0.00%,0,0,Vice_DamageDealer,3,5,254.3984,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,0.8,1,1,15,1.28,,1,20,2.4,,,Chongyun,2,12
Dainsleif,NA,NA,Unknown,Khaenri'ah,Tall Male,Snake Ring Constellation,NA,NA,Yuri Lowenthal,Ye Sun (孙晔),Kenjiro Tsuda?(津田健次郎),Choi Han?(??),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,100.00%,1,0.00%,0,0,,,NA,0,0,,,,0,0,,,1,1,1,,,,20,1,,,,20,,,,,,,#DIV/0!,,,20,#DIV/0!,,,Dainsleif,1,
